job_id,job_title,job_location,company_name,salary_year_avg
216489,Research Scientist,Anywhere,ED-Energy Storage & Distributed R,25000.0
1178688,Data Analyst,Anywhere,Jobmatchingpartner Ltd,35000.0
1349849,Financial Data Analyst,Anywhere,Get It Recruit - Information Technology,36000.0
994565,Remote Data Analyst,Anywhere,Get It Recruit - Administrative,39000.0
663127,Data Quality Analyst (Fraud Prevention),Anywhere,owl.co,40000.0
512966,Ecommerce Business Analyst/Data Analyst with Good exp with SQL,Anywhere,BayOne Solutions,41000.0
473213,Data Analyst-Operations,Anywhere,U.S. Wire and Cable Company/ Flexon Industries,42500.0
1619146,Data Analyst,Anywhere,Get It Recruit - Administrative,46500.0
42319,Data Analyst,Anywhere,Insight Global,47500.0
1262617,Financial Data Analyst,Anywhere,"Ali Awad Law, P.C.",47500.0
229128,Data Analyst / Engineer,Anywhere,Men's Health Clinic (MHC),47500.0
1605573,Clinical Data Analyst (Entry to Mid Level),Anywhere,Allied Technologies & Consulting,48500.0
1672776,Data Entry Analyst,Anywhere,Get It Recruit - Administrative,50000.0
522407,Data Analysis & Reporting Specialist,Anywhere,Get It Recruit - Information Technology,50000.0
269335,Data Analyst I - Healthcare Analytics,Anywhere,Get It Recruit - Information Technology,50000.0
1278164,Data Analyst,Anywhere,Get It Recruit - Transportation,50000.0
587906,Data Analyst,Anywhere,Makana Technologies,50000.0
1086455,Data Analysis & Reporting Specialist,Anywhere,Get It Recruit - Information Technology,50500.0
44448,Data Quality Analyst,Anywhere,Get It Recruit - Information Technology,51000.0
1073885,Sr. Data Analyst,Anywhere,Jacksonville,51059.0
642310,OPEN RANK: Qualitative Research Data Analyst or Senior Research...,Anywhere,"University of Maryland, Baltimore",51500.0
1049427,Data Analyst,Anywhere,Spark451 Inc.,52000.0
862094,Data Analyst,Anywhere,Kaye/Bassman International,52500.0
902110,Junior Data Analyst,Anywhere,Phoenix Capital Group Holdings LLC,52500.0
667237,E-Commerce Digital Analyst,Anywhere,Fitsoftware OU,52500.0
74841,Data Quality Analyst,Anywhere,Get It Recruit - Information Technology,52500.0
1203514,Data Analyst (Remote),Anywhere,"Acosta, Inc.",52500.0
198826,Statistical Data Analyst (Buyer Engagement Strategist),Anywhere,University of South Florida,53000.0
486466,Data Analyst - US Healthcare (REMOTE),Anywhere,WALGREENS,54540.0
837423,CCBHC Data Analyst (Grant Funded Position),Anywhere,State of Georgia,55000.0
562116,Environmental Data Analyst,Anywhere,JARBO Employment Group,55000.0
1598725,Lead Data Analyst/Data Architect,Anywhere,Get It Recruit - Information Technology,55500.0
739541,Healthcare Data SAS Analyst I,Anywhere,Ascendo Resources,57300.0
441975,Data Analyst I,Anywhere,FiberFirst,57500.0
346462,Remote Data Analyst II,Anywhere,The Difference Card,57500.0
1635949,Remote Data Analyst II,Anywhere,Get It Recruit - Information Technology,57500.0
785489,Data Management Analyst- Remote,Anywhere,"Stafford Consulting Company, Inc.",57500.0
1091264,Logistics Data Analyst (Remote Friendly),Anywhere,Webstaurant Store,58000.0
863378,Remote Data Analyst Consultant,Anywhere,Insight Global,58000.0
489565,HR Data Analyst- REMOTE,Anywhere,Ryder System,59000.0
1117967,HR Data Analyst- REMOTE,Anywhere,Ryder System,59000.0
719006,Data Analyst - Call Center,Anywhere,Suncoast Credit Union,59500.0
758435,HR Data Analyst,Anywhere,SHI International Corp.,60000.0
1009250,Full-time / Financial Data Analyst (Remote),Anywhere,eStaffing Inc.,60000.0
163009,Social Media Data Analyst,Anywhere,Get It Recruit - Marketing,60000.0
333817,Admissions & Recruitment Business Data Analyst (Hybrid-80% remote),Anywhere,University of North Texas Health Science Center,60000.0
143739,Junior Data Analyst,Anywhere,TalentKompass Deutschland,60000.0
616124,Junior Data Analyst,Anywhere,Get It Recruit - Finance,60000.0
179907,Data Analyst - Payroll Operations,Anywhere,Get It Recruit - Information Technology,60000.0
697068,Remote Data Analyst,Anywhere,"Kaye/Bassman International, Corp.",60000.0
212308,Data Analyst,Anywhere,El Buen Samaritano,60000.0
1431520,Entry Level Data Analyst,Anywhere,Jumpvine,60000.0
1138427,Data Science Analyst I,Anywhere,"Aflac, Incorporated",60000.0
1424729,Atmospheric Scientist/Data Analyst,Anywhere,BLUE STORM ASSOCIATES INC,60000.0
286007,Data Analyst,Anywhere,Get It Recruit - Information Technology,60000.0
955933,Freelance Online Data Analyst,Anywhere,Get It Recruit - Information Technology,60500.0
1579976,Freelance Online Data Analyst,Anywhere,Get It Recruit - Information Technology,60500.0
272662,Business Intelligence Engineer,Anywhere,Neurons Lab,62000.0
634102,Data Processing and Reporting Analyst,Anywhere,Get It Recruit - Information Technology,62000.0
1301761,Business Data Analyst,Anywhere,Kaye/Bassman International,62500.0
553921,Supply Chain Data Integrity Analyst,Anywhere,Get It Recruit - Transportation,62500.0
132241,Employee Assistance Program (EAP) Data Analyst,Anywhere,CuraLinc Healthcare,62500.0
329855,Internal Audit Data Analyst,Anywhere,Aegon,62500.0
376277,"Operations Reporting and Data Analyst - Boston, MA",Anywhere,Crescentia GTS,62500.0
1650439,Technology and Data Analyst,Anywhere,"McAllister & Quinn, LLC",62500.0
1513216,HR Report Writer and Data Analyst- REMOTE,Anywhere,Ryder System,62500.0
215071,Data Analyst,Anywhere,OZ,62500.0
43776,Data Analyst,Anywhere,Kaye/Bassman International,62500.0
