"job_id","job_title","job_location","company_name","salary_year_avg"
216489,"Research Scientist","Anywhere","ED-Energy Storage & Distributed R","25000.0"
1178688,"Data Analyst","Anywhere","Jobmatchingpartner Ltd","35000.0"
1349849,"Financial Data Analyst","Anywhere","Get It Recruit - Information Technology","36000.0"
994565,"Remote Data Analyst","Anywhere","Get It Recruit - Administrative","39000.0"
663127,"Data Quality Analyst (Fraud Prevention)","Anywhere","owl.co","40000.0"
512966,"Ecommerce Business Analyst/Data Analyst with Good exp with SQL","Anywhere","BayOne Solutions","41000.0"
473213,"Data Analyst-Operations","Anywhere","U.S. Wire and Cable Company/ Flexon Industries","42500.0"
1619146,"Data Analyst","Anywhere","Get It Recruit - Administrative","46500.0"
1262617,"Financial Data Analyst","Anywhere","Ali Awad Law, P.C.","47500.0"
229128,"Data Analyst / Engineer","Anywhere","Men's Health Clinic (MHC)","47500.0"
42319,"Data Analyst","Anywhere","Insight Global","47500.0"
1605573,"Clinical Data Analyst (Entry to Mid Level)","Anywhere","Allied Technologies & Consulting","48500.0"
1278164,"Data Analyst","Anywhere","Get It Recruit - Transportation","50000.0"
269335,"Data Analyst I - Healthcare Analytics","Anywhere","Get It Recruit - Information Technology","50000.0"
522407,"Data Analysis & Reporting Specialist","Anywhere","Get It Recruit - Information Technology","50000.0"
1672776,"Data Entry Analyst","Anywhere","Get It Recruit - Administrative","50000.0"
587906,"Data Analyst","Anywhere","Makana Technologies","50000.0"
1086455,"Data Analysis & Reporting Specialist","Anywhere","Get It Recruit - Information Technology","50500.0"
44448,"Data Quality Analyst","Anywhere","Get It Recruit - Information Technology","51000.0"
1073885,"Sr. Data Analyst","Anywhere","Jacksonville","51059.0"
642310,"OPEN RANK: Qualitative Research Data Analyst or Senior Research...","Anywhere","University of Maryland, Baltimore","51500.0"
1049427,"Data Analyst","Anywhere","Spark451 Inc.","52000.0"
862094,"Data Analyst","Anywhere","Kaye/Bassman International","52500.0"
1203514,"Data Analyst (Remote)","Anywhere","Acosta, Inc.","52500.0"
902110,"Junior Data Analyst","Anywhere","Phoenix Capital Group Holdings LLC","52500.0"
667237,"E-Commerce Digital Analyst","Anywhere","Fitsoftware OU","52500.0"
74841,"Data Quality Analyst","Anywhere","Get It Recruit - Information Technology","52500.0"
198826,"Statistical Data Analyst (Buyer Engagement Strategist)","Anywhere","University of South Florida","53000.0"
486466,"Data Analyst - US Healthcare (REMOTE)","Anywhere","WALGREENS","54540.0"
837423,"CCBHC Data Analyst (Grant Funded Position)","Anywhere","State of Georgia","55000.0"
562116,"Environmental Data Analyst","Anywhere","JARBO Employment Group","55000.0"
1598725,"Lead Data Analyst/Data Architect","Anywhere","Get It Recruit - Information Technology","55500.0"
739541,"Healthcare Data SAS Analyst I","Anywhere","Ascendo Resources","57300.0"
785489,"Data Management Analyst- Remote","Anywhere","Stafford Consulting Company, Inc.","57500.0"
346462,"Remote Data Analyst II","Anywhere","The Difference Card","57500.0"
441975,"Data Analyst I","Anywhere","FiberFirst","57500.0"
1635949,"Remote Data Analyst II","Anywhere","Get It Recruit - Information Technology","57500.0"
863378,"Remote Data Analyst Consultant","Anywhere","Insight Global","58000.0"
1091264,"Logistics Data Analyst (Remote Friendly)","Anywhere","Webstaurant Store","58000.0"
1117967,"HR Data Analyst- REMOTE","Anywhere","Ryder System","59000.0"
489565,"HR Data Analyst- REMOTE","Anywhere","Ryder System","59000.0"
719006,"Data Analyst - Call Center","Anywhere","Suncoast Credit Union","59500.0"
179907,"Data Analyst - Payroll Operations","Anywhere","Get It Recruit - Information Technology","60000.0"
1009250,"Full-time / Financial Data Analyst (Remote)","Anywhere","eStaffing Inc.","60000.0"
1138427,"Data Science Analyst I","Anywhere","Aflac, Incorporated","60000.0"
286007,"Data Analyst","Anywhere","Get It Recruit - Information Technology","60000.0"
758435,"HR Data Analyst","Anywhere","SHI International Corp.","60000.0"
143739,"Junior Data Analyst","Anywhere","TalentKompass Deutschland","60000.0"
163009,"Social Media Data Analyst","Anywhere","Get It Recruit - Marketing","60000.0"
697068,"Remote Data Analyst","Anywhere","Kaye/Bassman International, Corp.","60000.0"
1115473,"Data Analyst Jobs in Dubai | Al Futtaim Careers","Dubai - United Arab Emirates","Al Futtaim",NULL
480353,"Data Analyst","Doha, Qatar","PPOAR",NULL
513859,"Data Analyst","United Arab Emirates","Work in USA",NULL
229684,"Chalhoub Careers Dubai | Associate Data Analyst – Customer Job","Dubai - United Arab Emirates","Chalhoub Group",NULL
860422,"Data Analyst","Riyadh Saudi Arabia","Workato",NULL
469244,"Data Analyst Jobs in Dubai","Dubai - United Arab Emirates","Chalhoub Group",NULL
182243,"Data Analyst","Abu Dhabi - United Arab Emirates","Etihad Airways",NULL
982910,"Data Analyst","Doha, Qatar","JobCenter",NULL
1217241,"Voice of Customer Analyst Jobs in Dubai","Dubai - United Arab Emirates","Al Futtaim",NULL
391502,"Data Analyst","Umm Al Quwain - Umm Al Quawain - United Arab Emirates","Want More",NULL
1696221,"Data Analyst","Ras Al-Khaimah - Ras al Khaimah - United Arab Emirates","PPOAR",NULL
1608878,"Data Analyst","Riyadh Saudi Arabia","Work standard",NULL
1664197,"Data Analyst","Dubai - United Arab Emirates","India Abroad",NULL
893464,"Data Analyst","Dubai - United Arab Emirates","Almosafer",NULL
1275309,"Data Analyst","Doha, Qatar","Work in USA",NULL
